Censo Demográfico 2010 - Resultados Preliminares da Amostra,,,,,,,,,
"Tabela 5.3 - Pessoas que frequentavam escola ou creche, por curso que frequentavam, segundo as Grandes Regiões e as Unidades da Federação - 2010",,,,,,,,,
,,,,,,,,,
Grandes Regiões e                                                                                                                                                         Unidades da Federação,Pessoas que frequentavam escola ou creche,,,,,,,,
,Total (1),Curso que frequentavam ,,,,,,,
,,Creche,Pré-escolar,Classe de alfabetização,Alfabetização de jovens e adultos,Fundamental,Médio,Superior de graduação ,"Especialização de nível superior, mestrado ou doutorado"
Brasil, 59 552 922 , 2 224 968 , 5 119 568 , 2 832 799 ,  911 942 , 30 751 328 , 10 607 800 , 6 193 779 ,  909 020 
Norte, 5 692 276 ,  128 754 ,  464 477 ,  309 532 ,  74 506 , 3 280 581 ,  949 001 ,  436 999 ,  48 298 
Rondônia,  499 184 ,  10 547 ,  36 260 ,  27 437 ,  6 503 ,  276 643 ,  87 646 ,  49 368 ,  4 706 
Acre,  268 128 ,  5 788 ,  21 676 ,  15 526 ,  4 512 ,  150 202 ,  44 239 ,  23 766 ,  2 418 
Amazonas, 1 315 891 ,  24 969 ,  93 577 ,  84 632 ,  20 356 ,  748 344 ,  223 802 ,  108 362 ,  11 826 
Roraima,  170 472 ,  5 930 ,  14 628 ,  10 875 ,  2 595 ,  85 470 ,  28 116 ,  20 875 ,  1 983 
Pará, 2 704 431 ,  62 312 ,  239 582 ,  138 873 ,  33 185 , 1 616 590 ,  437 716 ,  156 692 ,  19 456 
Amapá,  257 175 ,  4 011 ,  20 537 ,  9 610 ,  2 819 ,  144 384 ,  45 737 ,  27 524 ,  2 553 
Tocantins,  476 995 ,  15 197 ,  38 217 ,  22 579 ,  4 536 ,  258 948 ,  81 745 ,  50 412 ,  5 356 
Nordeste, 17 887 856 ,  527 182 , 1 678 862 ,  900 125 ,  412 117 , 9 958 999 , 2 937 704 , 1 306 228 ,  166 191 
Maranhão, 2 420 071 ,  68 203 ,  269 873 ,  111 729 ,  46 870 , 1 384 075 ,  391 992 ,  132 186 ,  15 124 
Piauí, 1 106 732 ,  34 711 ,  92 723 ,  49 266 ,  34 079 ,  605 116 ,  184 181 ,  95 383 ,  11 266 
Ceará, 2 780 491 ,  117 964 ,  251 946 ,  87 280 ,  53 560 , 1 550 126 ,  487 943 ,  203 980 ,  27 598 
Rio Grande do Norte, 1 037 893 ,  48 197 ,  84 677 ,  41 389 ,  19 388 ,  562 142 ,  172 044 ,  97 934 ,  12 099 
Paraíba, 1 224 490 ,  30 038 ,  113 214 ,  52 972 ,  32 517 ,  688 108 ,  187 232 ,  106 996 ,  13 382 
Pernambuco, 2 845 975 ,  69 459 ,  275 480 ,  157 151 ,  50 880 , 1 571 679 ,  481 874 ,  211 080 ,  28 340 
Alagoas, 1 086 182 ,  24 846 ,  98 215 ,  48 735 ,  16 264 ,  655 040 ,  158 661 ,  76 046 ,  8 375 
Sergipe,  722 292 ,  15 782 ,  75 311 ,  30 116 ,  12 618 ,  405 371 ,  108 713 ,  66 300 ,  8 073 
Bahia, 4 663 730 ,  117 982 ,  417 423 ,  321 487 ,  145 941 , 2 537 342 ,  765 064 ,  316 323 ,  41 934 
Sudeste, 23 733 619 , 1 031 338 , 2 093 837 , 1 086 700 ,  302 171 , 11 440 763 , 4 525 128 , 2 805 516 ,  447 333 
Minas Gerais, 5 679 683 ,  180 100 ,  491 541 ,  324 913 ,  73 847 , 2 858 296 , 1 036 455 ,  626 239 ,  88 240 
Espírito Santo, 1 016 507 ,  55 273 ,  85 959 ,  51 986 ,  10 429 ,  511 060 ,  170 070 ,  114 470 ,  17 250 
Rio de Janeiro, 4 706 656 ,  177 128 ,  377 599 ,  279 178 ,  52 336 , 2 332 087 ,  876 660 ,  526 333 ,  85 171 
São Paulo, 12 330 773 ,  618 837 , 1 138 738 ,  430 623 ,  165 559 , 5 739 320 , 2 441 943 , 1 538 474 ,  256 672 
Sul, 7 845 442 ,  397 234 ,  536 652 ,  301 467 ,  76 809 , 3 903 556 , 1 402 505 , 1 058 712 ,  168 372 
Paraná, 3 107 773 ,  149 346 ,  209 262 ,  142 489 ,  42 583 , 1 534 570 ,  574 695 ,  390 450 ,  64 343 
Santa Catarina, 1 828 440 ,  121 843 ,  147 109 ,  73 498 ,  15 549 ,  851 498 ,  328 406 ,  247 305 ,  43 207 
Rio Grande do Sul, 2 909 229 ,  126 045 ,  180 281 ,  85 480 ,  18 677 , 1 517 488 ,  499 404 ,  420 957 ,  60 822 
Centro-Oeste, 4 393 729 ,  140 460 ,  345 740 ,  234 975 ,  46 339 , 2 167 429 ,  793 462 ,  586 324 ,  78 826 
Mato Grosso do Sul,  751 065 ,  34 534 ,  52 659 ,  25 531 ,  5 973 ,  408 966 ,  122 468 ,  90 227 ,  10 702 
Mato Grosso,  976 073 ,  34 606 ,  78 157 ,  66 807 ,  15 322 ,  471 954 ,  180 810 ,  115 035 ,  13 359 
Goiás, 1 788 117 ,  45 935 ,  137 295 ,  99 727 ,  17 166 ,  905 425 ,  336 940 ,  218 588 ,  26 979 
Distrito Federal,  878 474 ,  25 385 ,  77 629 ,  42 910 ,  7 878 ,  381 084 ,  153 244 ,  162 474 ,  27 786 
,,,,,,,,,
"Fonte: IBGE, Censo Demográfico 2010.",,,,,,,,,
(1) Inclusive as pessoas sem declaração de curso que frequentavam.,,,,,,,,,
