"Tabela 137 - População residente, por religião",,,,,,,,
Variável - População residente (Pessoas),,,,,,,,
Unidade da Federação,Ano x Religião,,,,,,,
,2010,,,,,,,
,Total,Católica Apostólica Romana,Evangélicas,Outra cristã tradicional,Evangélica pentecostal,Espírita,Umbanda e Candomblé,Sem religião
Rondônia,1562409,742950,528150,...,...,8905,735,224111
Acre,733559,381007,239589,...,...,4190,256,87364
Amazonas,3483985,2071453,1085480,...,...,14800,1677,209952
Roraima,450479,221379,136480,...,...,4084,455,58480
Pará,7581051,4828198,2026332,...,...,33924,5132,528247
Amapá,669526,425459,187163,...,...,2781,555,38787
Tocantins,1383445,944467,318776,...,...,8940,82,82307
Maranhão,6574789,4899250,1130399,...,...,12505,4369,431148
Piauí,3118360,2653135,302982,...,...,9840,1915,106722
Ceará,8452381,6663512,1236435,...,...,46756,8624,361819
Rio Grande do Norte,3168027,2406313,487948,...,...,24826,1417,203055
Paraíba,3766528,2898656,571015,...,...,23175,2420,213214
Pernambuco,8796448,5801397,1788973,...,...,123798,10830,914954
Alagoas,3120494,2256919,496472,...,...,17066,2397,302209
Sergipe,2068017,1579480,243330,...,...,22266,4371,177620
Bahia,14016906,9158613,2440925,...,...,157777,47069,1688785
Minas Gerais,19597330,13802790,3957520,...,...,419094,17451,986626
Espírito Santo,3514952,1873280,1164242,...,...,36593,3558,364469
Rio de Janeiro,15989929,7324315,4696906,...,...,647572,141783,2493704
São Paulo,41262199,24781288,9937853,...,...,1356193,141553,3357862
Paraná,10444526,7268935,2316213,...,...,108805,8949,485086
Santa Catarina,6248436,4565793,1252495,...,...,98973,10083,204421
Rio Grande do Sul,10693929,7359675,1959088,...,...,343784,157599,631128
Mato Grosso do Sul,2449024,1455323,648831,...,...,46610,3695,225784
Mato Grosso,3035122,1925472,745178,...,...,38044,1720,234214
Goiás,6003788,3535980,1685680,...,...,147740,4327,486914
Distrito Federal,2570160,1455134,690982,...,...,89836,5775,236528
Fonte: IBGE - Censo Demográfico,,,,,,,,
