"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Alta Floresta D'Oeste (RO)","26533","17111","6192","...","165","170","...","-","...","-","-","...","2481","..."
"Ariquemes (RO)","74503","40125","20498","...","374","189","...","-","...","40","-","...","11719","..."
"Cabixi (RO)","7518","4886","2005","...","18","-","...","-","...","-","-","...","586","..."
"Cacoal (RO)","73568","37342","24831","...","225","400","...","20","...","17","-","...","9685","..."
"Cerejeiras (RO)","18207","10720","5676","...","20","90","...","-","...","-","-","...","1653","..."
"Colorado do Oeste (RO)","21892","14153","5485","...","10","78","...","-","...","-","-","...","1749","..."
"Corumbiara (RO)","10459","6868","2481","...","74","6","...","-","...","-","-","...","925","..."
"Costa Marques (RO)","10208","6432","2226","...","121","-","...","-","...","-","5","...","1282","..."
"Espigão D'Oeste (RO)","25688","13856","9854","...","23","23","...","-","...","-","-","...","1669","..."
"Guajará-Mirim (RO)","38045","27147","7166","...","202","218","...","-","...","-","-","...","2910","..."
"Jaru (RO)","53600","23460","17569","...","133","111","...","-","...","-","-","...","11076","..."
"Ji-Paraná (RO)","106800","52721","32209","...","595","364","...","24","...","9","-","...","18308","..."
"Machadinho D'Oeste (RO)","22739","12018","6120","...","32","70","...","-","...","-","-","...","3930","..."
"Nova Brasilândia D'Oeste (RO)","17067","8465","6097","...","-","-","...","-","...","-","-","...","2156","..."
"Ouro Preto do Oeste (RO)","40884","20923","12497","...","100","207","...","-","...","29","-","...","6606","..."
"Pimenta Bueno (RO)","31752","19486","8168","...","129","180","...","-","...","-","-","...","3319","..."
"Porto Velho (RO)","334661","214357","73551","...","2303","2712","...","20","...","115","105","...","34952","..."
"Presidente Médici (RO)","26365","15118","7098","...","130","-","...","-","...","-","-","...","3547","..."
"Rio Crespo (RO)","2937","1924","590","...","-","-","...","-","...","-","-","...","317","..."
"Rolim de Moura (RO)","47382","24393","14044","...","101","8","...","41","...","-","-","...","8164","..."
"Santa Luzia D'Oeste (RO)","11603","7366","3014","...","36","-","...","-","...","-","-","...","1056","..."
"Vilhena (RO)","53598","32207","12235","...","509","333","...","-","...","115","94","...","5952","..."
"São Miguel do Guaporé (RO)","23874","13743","7590","...","71","-","...","-","...","-","-","...","2088","..."
"Nova Mamoré (RO)","14778","9435","3000","...","51","-","...","-","...","-","-","...","2245","..."
"Alvorada D'Oeste (RO)","19832","11441","6054","...","-","-","...","-","...","-","-","...","2124","..."
"Alto Alegre dos Parecis (RO)","13070","7322","4564","...","25","-","...","-","...","-","-","...","1132","..."
"Alto Paraíso (RO)","13118","7570","3616","...","41","-","...","-","...","-","-","...","1630","..."
"Buritis (RO)","25668","11936","9248","...","49","8","...","20","...","-","-","...","3876","..."
"Novo Horizonte do Oeste (RO)","12276","6775","3603","...","-","6","...","-","...","-","-","...","1716","..."
"Cacaulândia (RO)","5372","3736","1070","...","-","26","...","-","...","-","-","...","469","..."
"Campo Novo de Rondônia (RO)","11463","5758","3832","...","-","-","...","-","...","-","-","...","1717","..."
"Candeias do Jamari (RO)","13107","7933","3021","...","43","12","...","-","...","-","-","...","2028","..."
"Castanheiras (RO)","4212","2658","1203","...","-","-","...","-","...","-","-","...","321","..."
"Chupinguaia (RO)","5521","4043","855","...","-","-","...","-","...","-","-","...","453","..."
"Cujubim (RO)","6536","3806","1792","...","15","-","...","-","...","-","-","...","806","..."
"Governador Jorge Teixeira (RO)","13961","7162","3960","...","-","30","...","-","...","-","-","...","2365","..."
"Itapuã do Oeste (RO)","6822","3814","1955","...","5","-","...","-","...","-","-","...","901","..."
"Ministro Andreazza (RO)","11610","6204","3911","...","-","-","...","-","...","-","-","...","1402","..."
"Mirante da Serra (RO)","13154","7284","4340","...","16","-","...","-","...","-","-","...","1249","..."
"Monte Negro (RO)","12627","7484","3318","...","-","-","...","-","...","-","-","...","1743","..."
"Nova União (RO)","8233","4539","2169","...","-","-","...","-","...","-","-","...","1463","..."
"Parecis (RO)","3622","2572","721","...","35","4","...","-","...","-","-","...","236","..."
"Pimenteiras do Oeste (RO)","2527","1796","519","...","-","20","...","-","...","-","-","...","138","..."
"Primavera de Rondônia (RO)","4311","2828","1100","...","9","-","...","-","...","-","-","...","340","..."
"São Felipe D'Oeste (RO)","7056","4203","2102","...","57","-","...","-","...","3","-","...","650","..."
